0,0
0,19
0,20
0,45
0,46
0,62
1,1
1,43
1,44
2,2
2,23
2,41
2,60
3,3
3,39
4,4
4,38
5,5
5,35
6,6
6,34
7,7
7,16
8,8
8,14
8,49
9,9
9,11
9,12
9,51
9,54
10,10
10,53
11,9
11,11
11,12
11,51
11,54
12,9
12,11
12,12
12,51
12,54
13,13
14,8
14,14
14,49
15,15
16,7
16,16
17,17
17,18
17,47
17,63
18,17
18,18
18,47
18,63
19,0
19,19
19,20
19,45
19,46
19,62
20,0
20,19
20,20
20,45
20,46
20,62
21,21
21,42
21,61
22,22
23,2
23,23
23,41
23,60
24,24
24,26
24,39
24,59
25,25
26,24
26,26
26,59
27,27
28,28
28,58
29,29
29,30
29,57
30,29
30,30
30,57
31,31
32,32
32,33
33,32
33,33
33,56
34,6
34,34
35,5
35,35
36,36
36,37
37,36
37,37
38,4
38,38
39,3
39,24
39,39
40,40
41,2
41,23
41,41
41,60
42,21
42,42
42,61
43,1
43,43
43,44
44,1
44,43
44,44
45,0
45,19
45,20
45,45
45,46
45,62
46,0
46,19
46,20
46,45
46,46
46,62
47,17
47,18
47,47
47,63
48,48
48,55
49,8
49,14
49,49
50,50
51,9
51,11
51,12
51,51
51,54
52,52
53,10
53,53
54,9
54,11
54,12
54,51
54,54
55,48
55,55
56,33
56,56
57,29
57,30
57,57
58,28
58,58
59,24
59,26
59,59
60,2
60,23
60,41
60,60
61,21
61,42
61,61
62,0
62,19
62,20
62,45
62,46
62,62
63,17
63,18
63,47
63,63
64,64
64,81
64,109
64,110
64,127
65,65
65,82
65,83
65,108
66,66
66,84
66,85
67,67
67,86
67,87
67,103
68,68
68,101
69,69
70,70
70,97
71,71
71,96
72,72
73,73
73,76
73,77
74,74
74,117
75,75
75,116
75,118
76,73
76,76
76,77
77,73
77,76
77,77
78,78
79,79
80,80
81,64
81,81
81,109
81,110
81,127
82,65
82,82
82,83
82,108
83,65
83,82
83,83
83,108
84,66
84,84
84,85
85,66
85,84
85,85
86,67
86,86
86,87
86,103
86,125
87,67
87,86
87,87
87,103
87,125
88,88
89,89
89,123
90,90
90,100
91,91
91,122
92,92
93,93
93,121
94,94
95,95
96,71
96,96
97,70
97,97
98,98
98,99
99,98
99,99
100,90
100,100
101,68
101,101
102,102
102,124
103,67
103,86
103,87
103,103
103,104
103,125
104,103
104,104
104,125
105,105
106,106
107,107
107,126
108,65
108,82
108,83
108,108
109,64
109,81
109,109
109,110
109,127
110,64
110,81
110,109
110,110
110,127
111,111
112,112
113,113
114,114
115,115
116,75
116,116
116,118
117,74
117,117
118,75
118,116
118,118
119,119
120,120
121,93
121,121
122,91
122,122
123,89
123,123
124,102
124,124
125,86
125,87
125,103
125,104
125,125
126,107
126,126
127,64
127,81
127,109
127,110
127,127
128,128
128,144
128,145
128,174
129,129
129,146
129,147
129,171
129,172
129,173
129,190
129,191
130,130
130,149
130,169
130,170
130,189
131,131
131,150
131,151
131,167
131,168
132,132
132,165
133,133
133,163
133,164
134,134
134,161
135,135
135,160
135,175
135,176
136,136
136,142
136,143
136,177
136,183
136,184
137,137
137,140
137,179
138,138
138,181
139,139
139,180
139,182
140,137
140,140
140,179
141,141
141,178
142,136
142,142
142,143
142,177
142,183
142,184
143,136
143,142
143,143
143,177
143,183
143,184
144,128
144,144
144,145
144,174
145,128
145,144
145,145
145,174
146,129
146,146
146,147
146,171
146,172
146,173
146,190
146,191
147,129
147,146
147,147
147,171
147,172
147,173
147,190
147,191
148,148
149,130
149,149
149,169
149,170
149,189
150,131
150,150
150,151
150,167
150,168
151,131
151,150
151,151
151,167
151,168
152,152
152,188
153,153
153,187
154,154
154,155
154,156
154,186
155,154
155,155
155,156
155,186
156,154
156,155
156,156
156,186
157,157
158,158
158,185
159,159
160,135
160,160
160,175
160,176
161,134
161,161
162,162
163,133
163,163
163,164
164,133
164,163
164,164
165,132
165,165
166,166
167,131
167,150
167,151
167,167
167,168
168,131
168,150
168,151
168,167
168,168
169,130
169,149
169,169
169,170
169,189
170,130
170,149
170,169
170,170
170,189
171,129
171,146
171,147
171,171
171,172
171,173
171,190
171,191
172,129
172,146
172,147
172,171
172,172
172,173
172,190
172,191
173,129
173,146
173,147
173,171
173,172
173,173
173,190
173,191
174,128
174,144
174,145
174,174
175,135
175,160
175,175
